Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Post-tax national income | individuals | Share | Adults | share of total (ratio);Post-tax national income | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Share | Adults | share of total (ratio);Net personal wealth | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;GB;2011;p95p100;114613.474358;;;;;2.03952169418;;;0.231;;0.2758;;;0.2758;;56196.2539062;79682.234375
;GB;2011;p0p90;14048.4847102;;;19919.7374164;;;;;;;;;;;;;
;GB;2011;p99.5p100;394788.977698;;;;;2.29032278061;;;0.0687;;0.095;;;0.095;;172372.640625;244411.96875
;GB;2011;p99.95p100;1475195.10706;;;2091720.19451;;;;;;;0.0355;;;0.0355;;;
;GB;2010;p0p100;20977.4889474;20977.9430345;119196.742606;32092.1786625;34826.9485296;;1.08625888593e+12;1.66180115464e+12;;;;;;;;;
;GB;2010;p99p100;263273.18543;;;;;;;;0.094;;0.1255;;;0.1255;;;
;GB;2010;p99.9p100;977572.143673;;;;;;;;0.0319;;0.0466;;;0.0466;;;
;GB;2010;p90p100;79884.0062774;;;;;;;;0.336;;0.3808;;;0.3808;;;
;GB;2010;p90p95;;;;;;;;;;;0.1137;;;0.1137;;;
;GB;2010;p95p99;;;;;;;;;;;0.1416;;;0.1416;;;
;GB;2010;p99.5p99.9;;;;;;;;;;;0.0457;;;0.0457;;;
;GB;2010;p99.9p99.95;507703.028774;;;702762.229946;;;;;;;0.0121;;;0.0121;;;
;GB;2010;p99p99.5;;;;;;;;;;;0.0332;;;0.0332;;;
;GB;2010;p95p100;112064.168926;;;;;;;;0.2248;;0.2671;;;0.2671;;;
;GB;2010;p0p90;14432.8248077;;;19977.9075;;;;;;;;;;;;;
;GB;2010;p99.5p100;387252.844823;;;;;;;;0.0666;;0.0923;;;0.0923;;;
;GB;2010;p99.95p100;1447410.45865;;;2003504.69451;;;;;;;0.0345;;;0.0345;;;
;GB;2009;p0p100;21312.429088;21312.4564568;116689.846999;32462.4387013;35719.9078162;;1.08685006525e+12;1.65545664313e+12;;;;;;;;;
;GB;2009;p99p100;328638.079088;;2401643.52337;;;;;;;;0.1542;;0.205814266205;0.1542;;;
;GB;2009;p99.9p100;1376784.69189;;;;;;;;0.0502;;0.0646;;0.0824369907379;0.0646;;;
;GB;2009;p90p100;88510.631753;;630282.574041;;;;;;0.3731;;0.4153;;0.540134887695;0.4153;;;
;GB;2009;p90p95;;;318921.830808;;;;;;;;0.1154;;0.136653633118;0.1154;;;
;GB;2009;p95p99;;;576643.265751;;;;;;;;0.1457;;0.197666988373;0.1457;;;
;GB;2009;p99.5p99.9;;;;;;;;;;;0.0537;;0.0734564208984;0.0537;;;
;GB;2009;p99.9p99.95;664996.840082;;;988356.010539;;;;;;;0.0156;;;0.0156;;;
;GB;2009;p99p99.5;;;1165051.37633;;;;;;;;0.0359;;0.0499208545685;0.0359;;;
;GB;2009;p95p100;127832.111589;;941643.317275;;;;;;0.259;;0.2999;;0.403481254578;0.2999;;;
;GB;2009;p0p90;13845.9925447;;59623.988439;20578.6992188;;;;;;;;;0.459865112305;;;;
;GB;2009;p99.5p100;504252.707872;;3638235.67041;;;;;;0.0934;;0.1183;;0.155893411636;0.1183;;;
;GB;2009;p99.95p100;2088523.13649;;;3104081.50939;;;;;;;0.049;;;0.049;;;
;GB;2008;p0p100;21359.6261622;;110464.399367;34231.6186948;;;;;;;;;;;;;
;GB;2007;p0p100;21563.6061739;21563.9781939;;34288.9074805;36905.2355197;;1.08393490885e+12;1.72359586663e+12;;;;;;;;;
;GB;2007;p99p100;332947.839887;;;;;;;;0.125715955167;;0.1544;;;0.1544;;;
;GB;2007;p99.9p100;1304620.68559;;;;;;;;0.0479;;0.0605;;;0.0605;;;
;GB;2007;p90p100;91884.113748;;;;;;;;0.3837;;0.4261;;;0.4261;;;
;GB;2007;p90p95;;;;;;;;;;;0.1184;;;0.1184;;;
;GB;2007;p95p99;;;;;;;;;;;0.1533;;;0.1533;;;
;GB;2007;p99.5p99.9;;;;;;;;;;;0.0555;;;0.0555;;;
;GB;2007;p99.9p99.95;659905.558741;;;937958.276436;;;;;;;0.0153;;;0.0153;;;
;GB;2007;p99p99.5;;;;;;;;;;;0.0384;;;0.0384;;;
;GB;2007;p95p100;132704.720747;;;;;;;;0.2667;;0.3077;;;0.3077;;;
;GB;2007;p0p90;13750.630095;;;19544.4895605;;;;;;;;;;;;;
;GB;2007;p99.5p100;500284.280269;;;;;;;;0.0931;;0.116;;;0.116;;;
;GB;2007;p99.95p100;1949292.52801;;;2770631.39661;;;;;;;0.0452;;;0.0452;;;
;GB;2006;p0p100;21023.1960716;21023.4273954;125713.779398;34188.4210327;37197.5202763;;1.04801785669e+12;1.70431158492e+12;;;;;;;;;
;GB;2006;p99p100;311567.186729;;2498487.03373;;;;;;0.120533544153;;0.1482;;0.198744087219;0.1482;;;
;GB;2006;p99.9p100;1166800.20979;;;;;;;;0.0438;;0.0555;;;0.0555;;;
;GB;2006;p90p100;88277.3705342;;653426.218751;;;;;;0.378;;0.4199;;0.519772949219;0.4199;;;
;GB;2006;p90p95;;;335843.64424;;;;;;;;0.1189;;0.133574714661;0.1189;;;
;GB;2006;p95p99;;;589139.233145;;;;;;;;0.1528;;0.187454147339;0.1528;;;
;GB;2006;p99.5p99.9;;;;;;;;;;;0.0545;;;0.0545;;;
;GB;2006;p99.9p99.95;622338.544163;;;900403.006811;;;;;;;0.0148;;;0.0148;;;
;GB;2006;p99p99.5;;;1205232.13668;;;;;;;;0.0382;;0.0479355621338;0.0382;;;
;GB;2006;p95p100;126561.033468;;971008.793262;;;;;;0.2604;;0.301;;0.386198234558;0.301;;;
;GB;2006;p0p90;13550.7669246;;67079.0639142;19605.327997;;;;;;;;;0.480227050781;;;;
;GB;2006;p99.5p100;462515.411981;;3791741.93078;;;;;;0.0882;;0.11;;0.150808525085;0.11;;;
;GB;2006;p99.95p100;1711226.98751;;;2475813.10742;;;;;;;0.0407;;;0.0407;;;
;GB;2005;p0p100;20409.5001367;20409.6116834;123254.099805;33613.4012286;36027.6503882;;1.00896956571e+12;1.6617212444e+12;;;;;;;;;
;GB;2005;p99p100;290301.288003;;2312945.15351;;;;;;0.114764205447;;0.142237538053;;0.187656650543;0.142237538053;;;
;GB;2005;p99.9p100;1056640.30349;;;;;;;;0.0405;;0.0517716993894;;;0.0517716993894;;;
;GB;2005;p90p100;84922.264567;;630927.188007;;;;;;0.3741;;0.416089552043;;0.511891441345;0.416089552043;;;
;GB;2005;p90p95;;;343535.069747;;;;;;;;0.120387269489;;0.13936050415;0.120387269489;;;
;GB;2005;p95p99;;;569662.844457;;;;;;;;0.153464744502;;0.184874286652;0.153464744502;;;
;GB;2005;p99.5p99.9;;;;;;;;;;;0.0531354327282;;;0.0531354327282;;;
;GB;2005;p99.9p99.95;588888.09282;;;867861.846303;;;;;;;0.0144256887559;;;0.0144256887559;;;
;GB;2005;p99p99.5;;;1186072.45712;;;;;;;;0.0373304059351;;0.0481149291992;0.0373304059351;;;
;GB;2005;p95p100;120703.37296;;918319.306266;;;;;;0.2543;;0.295702282554;;0.372530937195;0.295702282554;;;
;GB;2005;p0p90;13241.5394452;;66845.9788933;19514.4493681;;;;;;;;;0.488108558655;;;;
;GB;2005;p99.5p100;428222.757316;;3439817.84989;;;;;;0.0832;;0.104907132118;;0.139541721344;0.104907132118;;;
;GB;2005;p99.95p100;1524363.914;;;2246500.3062;;;;;;;0.0373460106334;;;0.0373460106334;;;
;GB;2004;p0p100;19336.2548263;19336.5142765;;32918.1448085;35525.3703414;;9.47102441977e+11;1.61235230664e+12;;;;;;;;;
;GB;2004;p99p100;257182.92312;;;;;;;;0.107249574176;;0.133003764783;;;0.133003764783;;;
;GB;2004;p99.9p100;910870.710744;;;;;;;;0.0366;;0.047106252967;;;0.047106252967;;;
;GB;2004;p90p100;78945.6367706;;;;;;;;0.37;;0.408272317241;;;0.408272317241;;;
;GB;2004;p90p95;;;;;;;;;;;0.121895705806;;;0.121895705806;;;
;GB;2004;p95p99;;;;;;;;;;;0.153372846652;;;0.153372846652;;;
;GB;2004;p99.5p99.9;;;;;;;;;;;0.0496378726558;;;0.0496378726558;;;
;GB;2004;p99.9p99.95;495685.310466;;;759916.437206;;;;;;;0.0128164099683;;;0.0128164099683;;;
;GB;2004;p99p99.5;;;;;;;;;;;0.0362596391602;;;0.0362596391602;;;
;GB;2004;p95p100;110750.507119;;;;;;;;0.2472;;0.286376611435;;;0.286376611435;;;
;GB;2004;p0p90;12713.2786505;;;19490.2475691;;;;;;;;;;;;;
;GB;2004;p99.5p100;374138.837642;;;;;;;;0.0769;;0.0967441256228;;;0.0967441256228;;;
;GB;2004;p99.95p100;1326030.09832;;;2032886.68569;;;;;;;0.0342898429986;;;0.0342898429986;;;
;GB;2003;p0p100;18283.3695443;18284.0119441;115943.404447;32519.5723182;35162.5794452;;8.89060056852e+11;1.58131971775e+12;;;;;;;;;
;GB;2003;p99p100;242060.979395;;1946649.17623;;;;;;0.106994476027;;0.132389421899;;0.167896499634;0.132389421899;;;
;GB;2003;p99.9p100;835720.205669;;7717241.25814;;;;;;0.0362;;0.0457077061243;;0.0665604162216;0.0457077061243;;;
;GB;2003;p90p100;75699.7479664;;582677.041286;;;;;;0.3742;;0.414021536422;;0.502552986145;0.414021536422;;;
;GB;2003;p90p95;;;310087.924846;;;;;;;;0.124348872909;;0.133723831177;0.124348872909;;;
;GB;2003;p95p99;;;582420.403101;;;;;;;;0.157283241614;;0.200932655334;0.157283241614;;;
;GB;2003;p99.5p99.9;;;1645821.59413;;;;;;;;0.0500546400586;;0.0567801713943;0.0500546400586;;;
;GB;2003;p99.9p99.95;471271.592476;;;745758.658714;;;;;;;0.0128865986158;;;0.0128865986158;;;
;GB;2003;p99p99.5;;;1033192.82552;;;;;;;;0.0366270757163;;0.0445559120178;0.0366270757163;;;
;GB;2003;p95p100;105927.565367;;855266.157726;;;;;;0.25;;0.289672663513;;0.368829154968;0.289672663513;;;
;GB;2003;p0p90;11904.4858078;;64084.1114648;18838.1254259;;;;;;;;;0.497447013855;;;;
;GB;2003;p99.5p100;350183.97789;;2860105.52694;;;;;;0.0763;;0.0957623461829;;0.123340587616;0.0957623461829;;;
;GB;2003;p99.95p100;1200146.93259;;;1899159.59502;;;;;;;0.0328211075085;;;0.0328211075085;;;
;GB;2002;p0p100;18617.102607;18618.1040597;109931.197329;31276.3396135;33515.6460936;;8.99366167164e+11;1.51091610362e+12;;;;;;;;;
;GB;2002;p99p100;242516.063718;;1983742.43188;;;;;;0.104344147021;;0.130258195142;;0.180453090668;0.130258195142;;;
;GB;2002;p99.9p100;835348.288975;;;;;;;;0.0343;;0.0448675263914;;;0.0448675263914;;;
;GB;2002;p90p100;76355.2482912;;558952.021711;;;;;;0.3701;;0.41011289619;;0.508456230164;0.41011289619;;;
;GB;2002;p90p95;;;287425.226885;;;;;;;;0.123694193307;;0.130729598999;0.123694193307;;;
;GB;2002;p95p99;;;542162.912702;;;;;;;;0.156160507742;;0.197273540497;0.156160507742;;;
;GB;2002;p99.5p99.9;;;;;;;;;;;0.0491787195088;;;0.0491787195088;;;
;GB;2002;p99.9p99.95;461829.194493;;;693581.607205;;;;;;;0.012401791993;;;0.012401791993;;;
;GB;2002;p99p99.5;;;1034254.82457;;;;;;;;0.0362119492415;;0.0470410060883;0.0362119492415;;;
;GB;2002;p95p100;106651.462194;;830478.816537;;;;;;0.246;;0.286418702884;;0.377726631165;0.286418702884;;;
;GB;2002;p0p90;12202.8660914;;60039.9946196;18326.4366503;;;;;;;;;0.491543769836;;;;
;GB;2002;p99.5p100;350192.547971;;2933230.03919;;;;;;0.0741;;0.0940462459002;;0.133412084579;0.0940462459002;;;
;GB;2002;p99.95p100;1208844.38947;;;1815459.57792;;;;;;;0.0324657343984;;;0.0324657343984;;;
;GB;2001;p0p100;18803.9595384;18804.1002113;106203.992231;30707.1768218;32853.5964347;;9.02728423028e+11;1.47417048389e+12;;;;;;;;;
;GB;2001;p99p100;251713.748436;;2002669.27224;;;;;;0.107210494665;;0.133861091677;;0.188568172455;0.133861091677;;;
;GB;2001;p99.9p100;893661.131897;;7994105.09893;;;;;;0.0365;;0.0475248032688;;0.075271229744;0.0475248032688;;;
;GB;2001;p90p100;77869.0116879;;533568.38863;;;;;;0.3744;;0.414106554282;;0.502399559021;0.414106554282;;;
;GB;2001;p90p95;;;268492.592389;;;;;;;;0.123745225682;;0.126404190063;0.123745225682;;;
;GB;2001;p95p99;;;497637.91303;;;;;;;;0.156500236924;;0.187427196503;0.156500236924;;;
;GB;2001;p99.5p99.9;;;1779612.26062;;;;;;;;0.0500668450881;;0.0670261907578;0.0500668450881;;;
;GB;2001;p99.9p99.95;492718.598519;;;715506.095326;;;;;;;0.0131004110472;;;0.0131004110472;;;
;GB;2001;p99p99.5;;;982827.716188;;;;;;;;0.0362694433196;;0.0462707519531;0.0362694433196;;;
;GB;2001;p95p100;109199.671302;;798644.184871;;;;;;0.25;;0.2903613286;;0.375995368958;0.2903613286;;;
;GB;2001;p0p90;12241.3322961;;58719.0592975;17776.3695121;;;;;;;;;0.497600440979;;;;
;GB;2001;p99.5p100;367024.617273;;3022510.82828;;;;;;0.0768;;0.0975916483569;;0.142297420502;0.0975916483569;;;
;GB;2001;p99.95p100;1294578.95258;;;1879935.39159;;;;;;;0.0344243922216;;;0.0344243922216;;;
;GB;2000;p0p100;18624.6947712;18625.0713352;92848.8621643;30221.2112252;32346.8031189;;8.87521867616e+11;1.44013030204e+12;;;;;;;;;
;GB;2000;p99p100;251595.679606;;1717408.55533;;;;;;0.108435873227;;0.135084412231;;0.184968185425;0.135084412231;;;
;GB;2000;p99.9p100;919377.131836;;5489108.9003;;;;;;0.0379;;0.0493623433734;;0.0591187524796;0.0493623433734;;;
;GB;2000;p90p100;76332.8125423;;469398.133886;;;;;;0.3707;;0.409839038944;;0.505550765991;0.409839038944;;;
;GB;2000;p90p95;;;230585.607049;;;;;;;;0.121704911425;;0.124172554016;0.121704911425;;;
;GB;2000;p95p99;;;455911.187072;;;;;;;;0.153049715288;;0.19641002655;0.153049715288;;;
;GB;2000;p99.5p99.9;;;1727242.98108;;;;;;;;0.0499920791245;;0.0744109487534;0.0499920791245;;;
;GB;2000;p99.9p99.95;498751.211749;;;706728.230943;;;;;;;0.0133882729222;;;0.0133882729222;;;
;GB;2000;p99p99.5;;;955200.945735;;;;;;;;0.0357299897336;;0.0514384841919;0.0357299897336;;;
;GB;2000;p95p100;107330.374484;;708210.660723;;;;;;0.2496;;0.28813412752;;0.381378211975;0.28813412752;;;
;GB;2000;p0p90;12213.0999988;;51010.0541953;17305.9079419;;;;;;;;;0.494449234009;;;;
;GB;2000;p99.5p100;370096.637218;;2479616.16492;;;;;;0.0784;;0.0993544224979;;0.133529701233;0.0993544224979;;;
;GB;2000;p99.95p100;1339976.60243;;;1898740.83798;;;;;;;0.0359740704512;;;0.0359740704512;;;
;GB;1999;p0p100;17424.5894053;17425.0729682;86934.0846599;29741.6596845;32494.2368511;;8.25024908467e+11;1.4082173339e+12;;;;;;;;;
;GB;1999;p99p100;230683.487196;;1678083.61801;;;;;;0.106560350895;;0.132385957959;;0.19302942276;0.132385957959;;;
;GB;1999;p99.9p100;835500.589086;;6526767.24073;;;;;;0.0369;;0.0479481824474;;0.0750771951675;0.0479481824474;;;
;GB;1999;p90p100;72016.73833;;435296.104366;;;;;;0.3742;;0.413293740127;;0.500719718933;0.413293740127;;;
;GB;1999;p90p95;;;213876.339797;;;;;;;;0.125778447914;;0.123010635376;0.125778447914;;;
;GB;1999;p95p99;;;401373.931668;;;;;;;;0.155129334254;;0.184679660797;0.155129334254;;;
;GB;1999;p99.5p99.9;;;1517401.25766;;;;;;;;0.0488243518598;;0.0698184728622;0.0488243518598;;;
;GB;1999;p99.9p99.95;419467.599626;;;629325.240052;;;;;;;0.0120354501081;;;0.0120354501081;;;
;GB;1999;p99p99.5;;;836892.781744;;;;;;;;0.0356134236522;;0.0481337547302;0.0356134236522;;;
;GB;1999;p95p100;100199.496441;;656715.868936;;;;;;0.2505;;0.287515292213;;0.377709083557;0.287515292213;;;
;GB;1999;p0p90;11359.3326547;;48227.1935815;17042.3526301;;;;;;;;;0.499280281067;;;;
;GB;1999;p99.5p100;337253.688498;;2519274.45427;;;;;;0.0762;;0.0967725343072;;0.14489566803;0.0967725343072;;;
;GB;1999;p99.95p100;1251505.49279;;;1877627.72471;;;;;;;0.0359127323393;;;0.0359127323393;;;
;GB;1998;p0p100;17223.0066717;17222.9033771;;28778.2969666;30558.8389181;;8.10699313097e+11;1.35461513505e+12;;;;;;;;;
;GB;1998;p99p100;215802.985582;;;;;;;;0.0997;;0.1253;;0.199612388611;0.1253;;;
;GB;1998;p99.9p100;764696.893586;;;;;;;;0.0336;;0.0444;;0.0784897518158;0.0444;;;
;GB;1998;p90p100;67978.8014444;;;;;;;;0.3552;;0.3947;;0.518868370056;0.3947;;;
;GB;1998;p90p95;;;;;;;;;;;0.1205;;0.126588172913;0.1205;;;
;GB;1998;p95p99;;;;;;;;;;;0.1489;;0.192667808533;0.1489;;;
;GB;1998;p99.5p99.9;;;;;;;;;;;0.0467;;0.071770029068;0.0467;;;
;GB;1998;p99.9p99.95;403045.16758;;;577233.847318;;;;;;;0.0117;;;0.0117;;;
;GB;1998;p99p99.5;;;;;;;;;;;0.0342;;0.0493526077271;0.0342;;;
;GB;1998;p95p100;94450.4026831;;;;;;;;0.2366;;0.2742;;0.392280197144;0.2742;;;
;GB;1998;p0p90;11583.359349;;;16589.4733885;;;;;;;;;0.481131629944;;;;
;GB;1998;p99.5p100;313801.305168;;;;;;;;0.071;;0.0911;;0.150259780884;0.0911;;;
;GB;1998;p99.95p100;1126325.29276;;;1613102.2882;;;;;;;0.0327;;;0.0327;;;
;GB;1997;p0p100;16337.5994494;16338.4432477;73512.5505387;27785.1997848;29761.9347084;;7.66583445066e+11;1.30372122919e+12;;;;;;;;;
;GB;1997;p99p100;197205.010171;;1416523.50578;;;;;;0.0975;;0.1207;;0.192691383362;0.1207;;;
;GB;1997;p99.9p100;678045.409133;;4841008.6473;;;;;;0.0325;;0.0415;;0.0658528184891;0.0415;;;
;GB;1997;p90p100;63621.8988974;;379126.430792;;;;;;0.3524;;0.3894;;0.515730209351;0.3894;;;
;GB;1997;p90p95;;;179769.852011;;;;;;;;0.1216;;0.122271537781;0.1216;;;
;GB;1997;p95p99;;;368972.885523;;;;;;;;0.1471;;0.200767288208;0.1471;;;
;GB;1997;p99.5p99.9;;;1343736.65065;;;;;;;;0.0457;;0.0731160402298;0.0457;;;
;GB;1997;p99.9p99.95;369275.568645;;;528591.466708;;;;;;;0.0113;;;0.0113;;;
;GB;1997;p99p99.5;;;789855.961577;;;;;;;;0.0335;;0.0537225246429;0.0335;;;
;GB;1997;p95p100;87508.6992263;;578483.009574;;;;;;0.2333;;0.2678;;0.39345867157;0.2678;;;
;GB;1997;p0p90;11084.7260523;;39555.4527328;15866.9895859;;;;;;;;;0.484269790649;;;;
;GB;1997;p99.5p100;284942.456059;;2043191.04998;;;;;;0.0692;;0.0872;;0.138968858719;0.0872;;;
;GB;1997;p99.95p100;986795.822889;;;1412527.37969;;;;;;;0.0302;;;0.0302;;;
;GB;1996;p0p100;15524.5697631;15525.6843699;71638.7978294;27082.227329;29022.7830829;;7.26633073527e+11;1.26759335848e+12;;;;;;;;;
;GB;1996;p99p100;184755.639482;;1185484.04286;;;;;;0.0953;;0.119;;0.165480728149;0.119;;;
;GB;1996;p99.9p100;641210.753696;;3677579.12403;;;;;;0.0313;;0.0413;;0.0513350200653;0.0413;;;
;GB;1996;p90p100;61015.9410345;;346579.875892;;;;;;0.3548;;0.393;;0.483787956238;0.393;;;
;GB;1996;p90p95;;;181693.922857;;;;;;;;0.1245;;0.126812515259;0.1245;;;
;GB;1996;p95p99;;;342961.275445;;;;;;;;0.1495;;0.19149471283;0.1495;;;
;GB;1996;p99.5p99.9;;;1177486.35747;;;;;;;;0.0446;;0.0657457351685;0.0446;;;
;GB;1996;p99.9p99.95;341589.829909;;;493633.214766;;;;;;;0.011;;;0.011;;;
;GB;1996;p99p99.5;;;693463.174931;;;;;;;;0.0331;;0.0483999729156;0.0331;;;
;GB;1996;p95p100;83372.92588;;511465.828927;;;;;;0.2333;;0.2685;;0.356975440979;0.2685;;;
;GB;1996;p0p90;10471.2115695;;41089.7891558;15132.0015321;;;;;;;;;0.516212043762;;;;
;GB;1996;p99.5p100;266731.266468;;1677504.91078;;;;;;0.0673;;0.0859;;0.117080755234;0.0859;;;
;GB;1996;p99.95p100;940812.551569;;;1359573.04246;;;;;;;0.0303;;;0.0303;;;
;GB;1995;p0p100;15216.6840793;15216.9187999;72475.234574;26505.847129;28897.142606;;7.18984213052e+11;1.25239405082e+12;;;;;;;;;
;GB;1995;p99p100;163581.879551;;1175951.21162;;;;;;0.0866;;0.1075;;0.162255592346;0.1075;;;
;GB;1995;p99.9p100;493028.155506;;3877787.5033;;;;;;0.0246;;0.0324;;0.0535050010681;0.0324;;;
;GB;1995;p90p100;58600.356431;;340031.890841;;;;;;0.3488;;0.3851;;0.469169769287;0.3851;;;
;GB;1995;p90p95;;;178148.784568;;;;;;;;0.1271;;0.122903213501;0.1271;;;
;GB;1995;p95p99;;;333405.943488;;;;;;;;0.1505;;0.18401096344;0.1505;;;
;GB;1995;p99.5p99.9;;;1140271.09827;;;;;;;;0.0425;;0.0629330062866;0.0425;;;
;GB;1995;p99.9p99.95;292186.004066;;;425834.005767;;;;;;;0.0096;;;0.0096;;;
;GB;1995;p99p99.5;;;664128.043974;;;;;;;;0.0326;;0.0458175849915;0.0326;;;
;GB;1995;p95p100;78519.2992074;;501914.997115;;;;;;0.2252;;0.258;;0.346266555786;0.258;;;
;GB;1995;p0p90;10396.5370779;;42746.717211;15151.9886934;;;;;;;;;0.530830230713;;;;
;GB;1995;p99.5p100;227949.450224;;1687774.37927;;;;;;0.0589;;0.0749;;0.116438007355;0.0749;;;
;GB;1995;p99.95p100;693859.039219;;;1011235.20633;;;;;;;0.0228;;;0.0228;;;
;GB;1994;p0p100;14901.6449648;14906.7444603;71498.2417167;25759.9382434;31775.803158;;7.01257974164e+11;1.21223952108e+12;;;;;;;;;
;GB;1994;p99p100;158011.489538;;1261592.78094;;;;;;0.0856;;0.106;;0.176450881958;0.106;;;
;GB;1994;p99.9p100;462109.058317;;4320736.07024;;;;;;0.0235;;0.031;;0.0604313611984;0.031;;;
;GB;1994;p90p100;57137.5492018;;354240.452917;;;;;;0.3478;;0.3833;;0.49545337677;0.3833;;;
;GB;1994;p90p95;;;182102.430158;;;;;;;;0.1271;;0.127347488403;0.1271;;;
;GB;1994;p95p99;;;342574.899361;;;;;;;;0.1502;;0.191655006409;0.1502;;;
;GB;1994;p99.5p99.9;;;1209786.92234;;;;;;;;0.0426;;0.0676820516586;0.0426;;;
;GB;1994;p99p99.5;;;691208.809951;;;;;;;;0.0324;;0.048337469101;0.0324;;;
;GB;1994;p95p100;76382.155774;;526378.475676;;;;;;0.2236;;0.2562;;0.368105888367;0.2562;;;
;GB;1994;p0p90;10214.4325652;;40082.4404723;14528.9046252;;;;;;;;;0.50454662323;;;;
;GB;1994;p99.5p100;219427.269998;;1831976.75192;;;;;;0.0578;;0.0736;;0.128113412857;0.0736;;;
;GB;1993;p0p100;14656.649907;14657.7307156;70692.7254754;24969.0904642;31564.4014553;;6.87359631539e+11;1.17098685605e+12;;;;;;;;;
;GB;1993;p99p100;151854.092934;;1292937.6531;;;;;;0.0845;;0.1036;;0.182895431519;0.1036;;;
;GB;1993;p99.9p100;452923.863075;;4974248.77904;;;;;;0.0237;;0.0309;;0.0703643655777;0.0309;;;
;GB;1993;p90p100;56197.7368348;;352259.140308;;;;;;0.3494;;0.3834;;0.498296165466;0.3834;;;
;GB;1993;p90p95;;;175423.853723;;;;;;;;0.1283;;0.124074897766;0.1283;;;
;GB;1993;p95p99;;;338133.620339;;;;;;;;0.1515;;0.191325836182;0.1515;;;
;GB;1993;p99.5p99.9;;;1135174.87588;;;;;;;;0.0411;;0.0642314958572;0.0411;;;
;GB;1993;p99p99.5;;;682885.6497;;;;;;;;0.0316;;0.0482995700836;0.0316;;;
;GB;1993;p95p100;74783.7428426;;529094.426892;;;;;;0.2248;;0.2551;;0.3742212677;0.2551;;;
;GB;1993;p0p90;10042.1741769;;39407.5682718;14001.2023025;;;;;;;;;0.501703834534;;;;
;GB;1993;p99.5p100;211071.316704;;1902989.65651;;;;;;0.0575;;0.072;;0.134595861435;0.072;;;
;GB;1992;p0p100;15090.0535766;15090.2953732;70653.1777312;24305.4150699;30527.3799174;;7.04339540454e+11;1.13447347686e+12;;;;;;;;;
;GB;1992;p99p100;148790.306167;;1200515.79297;;;;;;0.0801;;0.0986;;0.169916744232;0.0986;;;
;GB;1992;p99.9p100;;;4111351.37105;;;;;;0.0213;;;;0.0581906080246;;;;
;GB;1992;p90p100;56799.8710945;;339105.740617;;;;;;0.3447;;0.3764;;0.479958229065;0.3764;;;
;GB;1992;p90p95;;;174552.839137;;;;;;;;0.1275;;0.123527946472;0.1275;;;
;GB;1992;p95p99;;;329444.354376;;;;;;;;0.1503;;0.186513538361;0.1503;;;
;GB;1992;p99.5p99.9;;;1150717.62178;;;;;;;;;;0.065147395134;;;;
;GB;1992;p99p99.5;;;658187.214313;;;;;;;;0.0312;;0.0465787410736;0.0312;;;
;GB;1992;p95p100;75119.4924145;;503658.642096;;;;;;0.2196;;0.2489;;0.356430282593;0.2489;;;
;GB;1992;p0p90;10455.8979942;;40825.1151883;13906.5587795;;;;;;;;;0.520041770935;;;;
;GB;1992;p99.5p100;203417.185667;;1742844.37163;;;;;;0.0537;;0.0674;;0.123338003159;0.0674;;;
;GB;1991;p0p100;15510.5084742;15511.6416847;;24112.3085313;30432.766459;;7.20593293869e+11;1.12021910186e+12;;;;;;;;;
;GB;1991;p99p100;160080.138619;;;;;;;;0.0835;;0.1032;;0.155803174973;0.1032;;;
;GB;1991;p99.9p100;;;;;;;;;0.0235;;;;0.0485242319107;;;;
;GB;1991;p90p100;58401.3290275;;;;;;;;0.3452;;0.3765;;0.455891189575;0.3765;;;
;GB;1991;p90p95;;;;;;;;;;;0.1252;;0.123185997009;0.1252;;;
;GB;1991;p95p99;;;;;;;;;;;0.1481;;0.176902017593;0.1481;;;
;GB;1991;p99.5p99.9;;;;;;;;;;;;;0.0632499551773;;;;
;GB;1991;p99p99.5;;;;;;;;;;;0.0314;;0.0440289878845;0.0314;;;
;GB;1991;p95p100;77961.5090081;;;;;;;;0.222;;0.2513;;0.332705192566;0.2513;;;
;GB;1991;p0p90;10746.120656;;;13752.9405534;;;;;;;;;0.544108810425;;;;
;GB;1991;p99.5p100;222747.174434;;;;;;;;0.0567;;0.0718;;0.111774187088;0.0718;;;
;GB;1990;p0p100;15841.4172938;15842.2315558;76734.6398954;24632.1730127;31160.0237819;;7.34239865291e+11;1.14168597783e+12;;;;;;;;;
