Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;BR;2014;p69p100;73806.0983352;97208.3646923;3.22582292557;3.41669631004;28450.9824219;0.7534662956;0.7625365621;22879.7734375
;BR;2014;p70p100;75496.8545643;99491.2231835;3.23948407173;3.42930173874;29012.09375;0.7458646104;0.7552684898;23305.2089844
;BR;2014;p71p100;77287.2150695;101909.922283;3.23743581772;3.43013215065;29710.203125;0.7381005773;0.7478419263;23872.9726562
;BR;2014;p72p100;79182.6475154;104473.992727;3.22177934647;3.42070174217;30541.6835938;0.7301262093;0.7402212782;24577.3027344
;BR;2014;p73p100;81190.3798933;107195.156249;3.19840288162;3.40533852577;31478.5605469;0.721901969;0.7323762746;25384.6640625
;BR;2014;p74p100;83320.0961689;110088.065034;3.1730234623;3.38833165169;32490.3457031;0.7133998262;0.7242840601;26258.8964844
;BR;2014;p75p100;85584.5029294;113170.965904;3.15079164505;3.37367606163;33545.296875;0.7046038794;0.7159296885;27162.8574219
;BR;2014;p76p100;87999.9462253;116466.458553;3.13599491119;3.36484980583;34612.6757812;0.6955102539;0.7073061799;28061.2539062
;BR;2014;p77p100;90587.0285517;120002.322253;3.13175463676;3.36456131935;35666.5585938;0.6861257821;0.698413825;28925.328125
;BR;2014;p78p100;93371.1219336;123812.345458;3.13954305649;3.37437033653;36691.984375;0.6764647125;0.6892582494;29740.3535156
;BR;2014;p79p100;96382.5741261;127937.017007;3.15827155113;3.3940179348;37694.8554688;0.6665422826;0.6798464846;30517.5078125
;BR;2014;p80p100;99656.2239307;132423.795877;3.1826198101;3.42024445534;38717.640625;0.656363333;0.6701798552;31312.6386719
;BR;2014;p81p100;103229.910894;137326.70922;3.2034702301;3.44687151909;39840.9726562;0.6459055884;0.6602432276;32224.4003906
;BR;2014;p82p100;107145.706071;142708.061039;3.21805262566;3.47127175331;41111.1757812;0.6351220122;0.6500044825;33295.1992188
;BR;2014;p83p100;111453.931091;148642.565421;3.225928545;3.49203085899;42566.2226562;0.6239563389;0.6394218234;34549.4101562
;BR;2014;p84p100;116215.815151;155220.967248;3.22674942017;3.50756669044;44253.1757812;0.6123434886;0.6284427337;36016.375
;BR;2014;p85p100;121506.759249;162554.71559;3.22028470039;3.51620602608;46230.1445312;0.6002077316;0.617001433;37731.6835938
;BR;2014;p86p100;127420.891369;170782.497428;3.20644974709;3.51633882523;48568.2695312;0.5874603548;0.6050158285;39738.9335938
;BR;2014;p87p100;134077.565879;180079.646545;3.1853351593;3.50668430328;51353.2539062;0.5739966502;0.5923840041;42092.1367188
;BR;2014;p88p100;141630.873904;190672.189413;3.15723776817;3.48672771454;54685.140625;0.5596919617;0.5789805047;44859.109375
;BR;2014;p89p100;150283.96757;202858.755243;3.1226913929;3.45742678642;58673.3320312;0.5443963766;0.5646531854;48126.421875
;BR;2014;p91p100;172094.997528;233813.956082;3.03761029243;3.38775038719;69017.46875;0.5100592694;0.5324861063;56654.7304688
;BR;2014;p92p100;186184.17481;254009.177463;2.98858642578;3.35577893257;75693.0625;0.4905040978;0.514203154;62298.40625
;BR;2014;p93p100;203402.274083;278922.479779;2.93617916107;3.32756471634;83821.8046875;0.4688821857;0.49405682;69274.4765625
;BR;2014;p94p100;225052.059439;310625.565664;2.8817024231;3.30479574203;93992.3671875;0.4446764507;0.4716108504;78096.9140625
;BR;2014;p95p100;253346.951913;352694.041875;2.8274936676;3.29017877579;107196.007812;0.4171531972;0.4462348333;89601.2421875
;BR;2014;p96p100;292434.049243;411939.181416;2.77790045738;3.28827524185;125275.15625;0.3852102351;0.4169542779;105271.609375
;BR;2014;p97p100;351279.317526;503343.948122;2.74159288406;3.30708789825;152201.5625;0.3470433475;0.3821038795;128129.648438
;BR;2014;p98p100;454324.18635;668502.073169;2.73684239388;3.3597638607;198972.9375;0.2992304198;0.3383203295;166003.046875
;BR;2014;p0p90;15927.8218749;19793.5770593;;;0.0;0.472072594;0.4507774025;0.0
;BR;2014;p0p99;23533.4504009;28900.9312649;;;0.0;0.7672390343;0.7240063458;0.0
;BR;2014;p99.1p100;756130.633041;1175254.57418;2.77948260307;3.43307566643;342332.84375;0.2241038054;0.2676515734;272040.0625
;BR;2014;p99.1p99.2;282457.139184;356710.292258;;;342332.84375;0.0093017025;0.0090263253;272040.0625
;BR;2014;p99.2p100;815339.820643;1277572.60898;2.77715659142;3.43354415894;372085.6875;0.2148021031;0.258625248;293588.0
;BR;2014;p99.2p99.3;306350.178183;389823.669355;;;372085.6875;0.0100885332;0.0098642381;293588.0
;BR;2014;p99.3p100;888052.625528;1404393.88534;2.77476739883;3.43402981758;408963.8125;0.2047135697;0.2487610097;320045.78125
;BR;2014;p99.3p99.4;335904.986168;431504.58466;;;408963.8125;0.0110618137;0.0109189469;320045.78125
;BR;2014;p99.4p100;980077.233226;1566542.10454;2.7762594223;3.43453621864;456114.59375;0.1936517562;0.2378420632;353020.78125
;BR;2014;p99.4p99.5;373105.76573;485907.456711;;;456114.59375;0.0122868866;0.0122955767;353020.78125
;BR;2014;p99.5p100;1101471.52708;1782669.03246;2.78887820244;3.43506836891;518961.75;0.1813648697;0.2255464862;394951.46875
;BR;2014;p99.5p99.6;421078.864033;560563.252547;;;518961.75;0.0138667068;0.0141846938;394951.46875
;BR;2014;p99.6p100;1271569.69283;2088195.47587;2.82678341866;3.43563294411;607805.1875;0.1674981629;0.2113617923;449829.1875
;BR;2014;p99.6p99.7;485291.252564;670877.516121;;;607805.1875;0.0159813091;0.0169761255;449829.1875
;BR;2014;p99.7p100;1533662.51441;2560634.80593;2.9205467701;3.43624067307;745184.9375;0.1515168546;0.1943856675;525128.5625
;BR;2014;p99.7p99.8;577609.883058;854921.382042;;;745184.9375;0.0190214887;0.0216332376;525128.5625
;BR;2014;p99.8p100;2011688.81865;3413491.50212;3.14425086975;3.43691205978;993185.5625;0.1324953651;0.1727524291;639799.0625
;BR;2014;p99.8p99.9;745799.93407;1246750.73048;;;993185.5625;0.0245602187;0.0315482281;639799.0625
;BR;2014;p99.91p100;3537081.15496;6013113.78298;3.6247947216;3.43778419495;1749124.875;0.1048328572;0.1369421911;975801.8125
;BR;2014;p99.91p99.92;1016133.24787;1822727.62404;;;1749124.875;0.0033462667;0.0046122954;975801.8125
;BR;2014;p99.92p100;3852199.64698;6536912.04965;3.6330435276;3.43787574768;1901439.25;0.1014865906;0.1323298956;1060323.0
;BR;2014;p99.92p99.93;1113707.83337;1992245.50778;;;1901439.25;0.0036675932;0.0050412496;1060323.0
;BR;2014;p99.93p100;4243412.76167;7186150.13224;3.6188788414;3.43797111511;2090229.875;0.0978189973;0.1272886461;1172576.625
;BR;2014;p99.93p99.94;1244781.76311;2205623.15263;;;2090229.875;0.0040992377;0.005581188;1172576.625
;BR;2014;p99.94p100;4743184.59287;8016237.96888;3.57947087288;3.43807053566;2331609.5;0.0937197596;0.1217074582;1325107.75
;BR;2014;p99.94p99.95;1425715.77882;2484128.59632;;;2331609.5;0.0046950784;0.0062859282;1325107.75
;BR;2014;p99.95p100;5406678.35618;9122659.82737;3.51306533813;3.43817448616;2653344.0;0.0890246812;0.1154215298;1539020.125
;BR;2014;p99.95p99.96;1685232.11864;2866315.26393;;;2653344.0;0.0055497014;0.0072530271;1539020.125
;BR;2014;p99.96p100;6337039.91785;10686745.9808;3.42013144493;3.43828511238;3108161.75;0.0834749798;0.1081685029;1852864.375
;BR;2014;p99.96p99.97;2079228.7285;3431048.35623;;;3108161.75;0.0068471865;0.0086820479;1852864.375
;BR;2014;p99.97p100;7756310.33223;13105311.8051;3.30588173866;3.43840408325;3811452.0;0.0766277935;0.0994864546;2346215.25
;BR;2014;p99.97p99.98;2736122.63655;4373227.28629;;;3811452.0;0.0090104286;0.0110661713;2346215.25
;BR;2014;p99.98p100;10266404.2375;17471354.0188;3.18727850914;3.43853569031;5081045.0;0.0676173653;0.088420283;3221056.5
;BR;2014;p99.98p99.99;4069203.83283;6379125.36089;;;5081045.0;0.0134004485;0.0161419678;3221056.5
;BR;2014;p99.991p100;17683207.0653;30779639.7703;3.10612630844;3.43870592117;8950937.0;0.052409912;0.070097315;5693009.5
;BR;2014;p99.991p99.992;5925975.82378;9327732.72311;;;8950937.0;0.0019515054;0.002360323;5693009.5
;BR;2014;p99.992p100;19152860.952;33461128.1773;3.10182714462;3.43872380257;9730682.0;0.0504584065;0.0677369921;6174703.0
;BR;2014;p99.992p99.993;6460640.23927;10195547.3148;;;9730682.0;0.0021275778;0.0025799179;6174703.0
;BR;2014;p99.993p100;20966035.3015;36784782.5357;3.0975420475;3.43874263763;10697161.0;0.0483308287;0.0651570741;6768604.0
;BR;2014;p99.993p99.994;7129823.24514;11287895.2786;;;10697161.0;0.002347949;0.0028563295;6768604.0
;BR;2014;p99.994p100;23272070.6862;41034263.7816;3.09331130981;3.43876194954;11932860.0;0.0459828798;0.0623007446;7523352.0
;BR;2014;p99.994p99.995;7997526.90632;12713652.6558;;;11932860.0;0.0026336957;0.0032171083;7523352.0
;BR;2014;p99.995p100;26326979.4821;46698385.9746;3.08919429779;3.43878245354;13579919.0;0.0433491841;0.0590836363;8522280.0
;BR;2014;p99.995p99.996;9179056.60882;14670186.2553;;;13579919.0;0.0030227897;0.0037121966;8522280.0
;BR;2014;p99.996p100;30613960.2113;54705435.9305;3.08526802063;3.43880391121;15908274.0;0.0403263944;0.0553714397;9922626.0
;BR;2014;p99.996p99.997;10908643.055;17561233.9954;;;15908274.0;0.0035923664;0.0044437577;9922626.0
;BR;2014;p99.997p100;37182399.2898;67086836.6193;3.08158922195;3.43882727623;19508638.0;0.0367340281;0.050927682;12065982.0
;BR;2014;p99.997p99.998;13760517.4884;22384545.3114;;;19508638.0;0.0045315279;0.0056642657;12065982.0
;BR;2014;p99.998p100;48893339.8773;89437982.711;3.07786750793;3.43885302544;26008086.0;0.0322025;0.0452634165;15885459.0
;BR;2014;p99.998p99.999;19738152.2632;32653368.2777;;;26008086.0;0.0065000453;0.0082627255;15885459.0
;BR;2014;p99.99p99.991;5487181.58637;8619067.72719;;;8306533.5;0.0018070044;0.0021809998;5293062.0
;BR;2014;p99.9p99.91;942046.424721;1684298.04217;;;1623248.0;0.0031022886;0.0042620082;911094.9375
;BR;2014;p99p99.1;262884.911235;329669.638122;;;317744.21875;0.0086571621;0.0083420789;254288.0625
;BR;2013;p0p100;31243.8699214;42218.1025811;;;0.0;1.0;1.0;0.0
;BR;2013;p0p50;7879.30282123;10445.3547128;;;0.0;0.12609358;0.1237070602;0.0
;BR;2013;p50p90;26777.5065138;34337.3885028;;;20273.2285156;0.3428193317;0.3253333182;15696.5957031
;BR;2013;p90p99;103761.314032;129259.729005;;;67118.046875;0.2988913655;0.2755556107;52807.2773438
;BR;2013;p99p100;725469.377552;1162703.54579;2.70204257965;3.34991884232;347084.09375;0.2321957502;0.275404026;268489.25
;BR;2013;p99.9p100;3260871.84587;5805642.71688;3.2177491188;3.29545235634;1761713.5;0.1043683722;0.1375154818;1013401.5
;BR;2013;p99.99p100;15601557.0122;28825836.3054;3.13314723969;3.28477144241;8775599.0;0.0499347771;0.0682783795;4979516.0
;BR;2013;p99.999p100;75189798.2472;142962440.914;3.16769218445;3.28262925148;43551200.0;0.0240654562;0.0338628295;23736460.0
;BR;2013;p0p10;22.1464053758;939.324619739;;;0.0;7.08824e-05;0.0022249333;0.0
;BR;2013;p10p20;4728.41036056;6551.96254992;;;2219.57885742;0.0151338819;0.0155193203;962.981323242
;BR;2013;p20p30;9053.00606764;11723.1765053;;;8879.28515625;0.0289753033;0.0277681274;6647.24609375
;BR;2013;p30p40;11662.2962267;14998.6129709;;;14007.34375;0.03732667;0.0355264971;10881.6884766
;BR;2013;p40p50;13930.6550459;18013.696918;;;15793.7324219;0.0445868424;0.0426681822;12171.0136719
;BR;2013;p50p60;17378.0762175;22296.8059727;;;20273.2285156;0.0556207546;0.0528133777;15696.5957031
;BR;2013;p60p70;21781.1569507;28130.2967582;;;24808.9003906;0.0697133774;0.0666308883;19259.6269531
;BR;2013;p70p80;27823.6643972;35822.5986011;;;31172.6386719;0.089053195;0.0848512757;24074.5332031
;BR;2013;p80p90;40127.1284898;51099.8526792;;;41238.640625;0.1284320047;0.1210377766;32099.3769531
;BR;2013;p90p100;165932.161215;232604.698936;3.14222145081;3.4656059742;67118.046875;0.5310870953;0.5509596218;52807.2773438
;BR;2013;p0p1;1.1333855917;124.304453294;;;0.0;3.628e-07;2.94434e-05;0.0
;BR;2013;p1p2;3.4001566862;364.748906758;;;247.550628662;1.0883e-06;8.63963e-05;2.2667713165
;BR;2013;p2p3;5.6669280471;577.91505624;;;477.244689941;1.8138e-06;0.000136888;4.5335426331
;BR;2013;p3p4;7.9336994081;751.475292402;;;671.801025391;2.5393e-06;0.0001779984;6.8003134727
;BR;2013;p4p5;10.200470769;884.130655335;;;824.118225098;3.2648e-06;0.0002094198;9.0670852661
;BR;2013;p5p6;12.4672421299;987.443537763;;;939.004638672;3.9903e-06;0.000233891;11.333855629
;BR;2013;p6p7;14.7340127805;1087.89543389;;;1035.11914062;4.7158e-06;0.0002576846;13.6006269455
;BR;2013;p7p8;17.000783431;1229.19986025;;;1147.15087891;5.4413e-06;0.0002911547;15.867398262
;BR;2013;p8p9;19.2675555023;1474.89671234;;;1328.26989746;6.1668e-06;0.0003493517;18.1341705322
;BR;2013;p9p10;129.659819412;1911.23628912;;;1652.86669922;4.14993e-05;0.0004527054;20.4009399414
;BR;2013;p10p11;1345.96515753;2637.06229159;;;2219.57885742;0.0004307934;0.0006246283;962.981323242
;BR;2013;p11p12;2238.41354237;3632.24491127;;;3101.33398438;0.0007164329;0.0008603525;1766.31323242
;BR;2013;p12p13;3222.23248348;4752.31911492;;;4183.62207031;0.0010313167;0.0011256591;2725.4375
;BR;2013;p13p14;4181.5804501;5860.8771253;;;5318.65673828;0.0013383683;0.0013882379;3714.56347656
;BR;2013;p14p15;5023.82484588;6848.01268727;;;6382.31982422;0.0016079394;0.001622056;4628.60595703
;BR;2013;p15p16;5684.85996334;7636.37172003;;;7279.92480469;0.0018195121;0.0018087908;5388.27148438
;BR;2013;p16p17;6134.8936909;8187.78857164;;;7952.55517578;0.0019635512;0.0019394023;5945.60546875
;BR;2013;p17p18;6384.78908473;8510.60224094;;;8384.01367188;0.0020435334;0.0020158656;6290.03173828
;BR;2013;p18p19;6493.1526711;8667.83761023;;;8608.53222656;0.0020782165;0.0020531092;6455.03076172
;BR;2013;p19p20;6574.39171617;8786.50922603;;;8719.47558594;0.0021042181;0.0020812184;6525.671875
;BR;2013;p20p21;6793.11283766;9051.74708949;;;8879.28515625;0.0021742226;0.002144044;6647.24609375
;BR;2013;p21p22;7215.10688801;9540.89004543;;;9263.9453125;0.0023092872;0.002259905;6975.03222656
;BR;2013;p22p23;7771.76340683;10182.0979653;;;9843.0546875;0.0024874522;0.0024117848;7477.50097656
;BR;2013;p23p24;8388.42752645;10895.9608932;;;10533.0869141;0.0026848235;0.0025808741;8075.86328125
;BR;2013;p24p25;9000.3624739;11612.9575193;;;11259.1455078;0.0028806811;0.0027507057;8699.99316406
;BR;2013;p25p26;9555.51171002;12276.2605668;;;11957.5556641;0.0030583637;0.0029078191;9291.00390625
;BR;2013;p26p27;10017.6480737;12844.9422473;;;12578.8701172;0.0032062763;0.00304252;9804.1953125
;BR;2013;p27p28;10369.92739;13297.6220498;;;13091.2880859;0.0033190278;0.0031497441;10212.4023438
;BR;2013;p28p29;10618.928744;13636.6109293;;;13484.5351562;0.0033987239;0.0032300388;10509.7744141
;BR;2013;p29p30;10799.2716258;13892.6757466;;;13774.3027344;0.0034564449;0.0032906916;10716.0859375
;BR;2013;p30p31;10973.0085065;14124.9665288;;;14007.34375;0.0035120517;0.0033457133;10881.6884766
;BR;2013;p31p32;11170.6429469;14365.8523728;;;14244.7861328;0.0035753071;0.0034027707;11069.1357422
;BR;2013;p32p33;11372.8865297;14602.0779711;;;14486.0800781;0.0036400377;0.0034587244;11272.8476562
;BR;2013;p33p34;11559.4622291;14819.2713663;;;14714.8242188;0.0036997537;0.0035101699;11470.2236328
;BR;2013;p34p35;11715.5678307;15007.820126;;;14918.8457031;0.0037497173;0.0035548306;11643.5087891
;BR;2013;p35p36;11833.2697316;15164.0509032;;;15091.2871094;0.0037873893;0.0035918362;11781.0849609
;BR;2013;p36p37;11913.149167;15291.6173856;;;15231.8886719;0.0038129557;0.0036220523;11878.9785156
;BR;2013;p37p38;11966.2321423;15403.134969;;;15348.4902344;0.0038299456;0.0036484669;11942.6435547
;BR;2013;p38p39;12016.2758189;15522.1122875;;;15458.8046875;0.0038459627;0.0036766485;11989.0585938
;BR;2013;p39p40;12102.4673643;15685.2257983;;;15592.5136719;0.0038735494;0.0037152844;12049.2080078
;BR;2013;p40p41;12277.683157;15940.5848454;;;15793.7324219;0.0039296295;0.0037757701;12171.0136719
;BR;2013;p41p42;12559.5159214;16303.788129;;;16106.0830078;0.0040198336;0.0038618003;12402.8623047
;BR;2013;p42p43;12919.5673459;16748.6022312;;;16515.0761719;0.0041350727;0.0039671613;12729.1777344
;BR;2013;p43p44;13326.6573385;17245.8084638;;;16990.8300781;0.0042653671;0.0040849322;13117.75
;BR;2013;p44p45;13752.3919523;17768.0921454;;;17504.9199219;0.0044016289;0.004208643;13538.6035156
;BR;2013;p45p46;14172.4495227;18291.0874949;;;18031.3144531;0.0045360737;0.0043325224;13965.1416016
;BR;2013;p46p47;14568.1432361;18794.6535227;;;18547.5273438;0.0046627205;0.0044517997;14375.5712891
;BR;2013;p47p48;14928.3474257;19264.4408794;;;19036.0234375;0.0047780084;0.004563076;14754.6367188
;BR;2013;p48p49;15251.8108723;19693.7988116;;;19485.953125;0.0048815371;0.0046647759;15095.7246094
;BR;2013;p49p50;15549.9836868;20086.112657;;;19895.2578125;0.0049769711;0.0047577014;15403.4160156
;BR;2013;p50p51;15848.067752;20456.4670241;;;20273.2285156;0.0050723767;0.0048454255;15696.5957031
;BR;2013;p51p52;16162.1645134;20820.8331574;;;20638.8457031;0.0051729074;0.0049317311;16002.5341797
;BR;2013;p52p53;16489.484916;21188.0675879;;;21003.296875;0.0052776705;0.0050187162;16323.984375
;BR;2013;p53p54;16826.0599761;21566.325008;;;21374.6757812;0.0053853956;0.0051083122;16656.5078125
;BR;2013;p54p55;17169.1050036;21963.7640423;;;21761.171875;0.0054951916;0.0052024517;16996.6621094
;BR;2013;p55p56;17517.4880814;22388.3526196;;;22170.8867188;0.005606696;0.005303022;17342.4003906
;BR;2013;p56p57;17872.3149382;22847.5927426;;;22611.6054688;0.0057202629;0.0054118;17693.5996094
;BR;2013;p57p58;18237.6622207;23348.1685853;;;23090.4902344;0.0058371969;0.005530369;18052.71875
;BR;2013;p58p59;18621.5115438;23895.4746698;;;23613.6660156;0.0059600528;0.0056600068;18425.6074219
;BR;2013;p59p60;19036.9032304;24493.0142896;;;24185.6992188;0.0060930043;0.0058015431;18822.5644531
;BR;2013;p60p61;19501.2044943;25140.8503546;;;24808.9003906;0.0062416098;0.005954993;19259.6269531
;BR;2013;p61p62;20014.3658687;25827.6276323;;;25479.4257812;0.0064058537;0.0061176666;19751.2675781
;BR;2013;p62p63;20555.0147835;26532.613387;;;26178.84375;0.0065788953;0.0062846532;20282.0273438
;BR;2013;p63p64;21100.7907873;27235.3855005;;;26885.9726562;0.0067535779;0.0064511155;20828.8164062
;BR;2013;p64p65;21631.7747611;27917.9832034;;;27581.3652344;0.0069235261;0.0066127991;21370.2304688
;BR;2013;p65p66;22132.3730216;28566.7294957;;;28248.8476562;0.0070837489;0.0067664646;21888.1445312
;BR;2013;p66p67;22593.8808659;29174.7101888;;;28877.6503906;0.0072314604;0.006910474;22369.9160156
;BR;2013;p67p68;23017.9816202;29745.1435161;;;29465.2714844;0.0073671993;0.0070455899;22811.3632812
;BR;2013;p68p69;23421.4736301;30295.9489624;;;30021.4003906;0.0074963421;0.0071760565;23220.8125
;BR;2013;p69p70;23842.7096744;30865.9753415;;;30573.21875;0.007631164;0.0073110759;23624.59375
;BR;2013;p70p71;24344.6028013;31517.9359352;;;31172.6386719;0.0077918014;0.0074655027;24074.5332031
;BR;2013;p71p72;24960.9592083;32286.8971011;;;31883.5546875;0.0079890741;0.0076476429;24634.609375
;BR;2013;p72p73;25675.1144012;33159.661527;;;32707.5722656;0.0082176486;0.0078543704;25303.640625
;BR;2013;p73p74;26463.5716471;34116.4853418;;;33625.7851562;0.0084700044;0.0080810087;26058.9902344
;BR;2013;p74p75;27301.809959;35136.4863987;;;34617.7148438;0.0087382933;0.0083226115;26876.4414062
;BR;2013;p75p76;28165.945599;36198.9948719;;;35662.3046875;0.009014871;0.0085742828;27731.4414062
;BR;2013;p76p77;29035.4934895;37285.8180119;;;36739.640625;0.0092931809;0.0088317133;28601.2265625
;BR;2013;p77p78;29897.8221361;38384.9400325;;;37833.8476562;0.0095691802;0.0090920571;29468.3164062
;BR;2013;p78p79;30755.2302904;39496.5024809;;;38937.7578125;0.0098436046;0.0093553476;30326.0859375
;BR;2013;p79p80;31636.0944403;40642.2643102;;;40060.3554688;0.0101255365;0.0096267387;31187.5761719
;BR;2013;p80p81;32606.5138784;41876.2454438;;;41238.640625;0.0104361316;0.0099190259;32099.3769531
;BR;2013;p81p82;33723.9864925;43252.2849394;;;42537.9882812;0.010793793;0.0102449618;33138.8867188
;BR;2013;p82p83;35007.1001625;44800.5441501;;;43995.1796875;0.0112044699;0.0106116906;34336.6523438
;BR;2013;p83p84;36472.4175391;46554.2316264;;;45640.0078125;0.0116734635;0.0110270781;35707.8554688
;BR;2013;p84p85;38140.1036205;48554.7224067;;;47509.4179688;0.0122072278;0.0115009248;37270.6171875
;BR;2013;p85p86;40035.8549576;50853.9367976;;;49649.5898438;0.0128139872;0.0120455287;39047.4570312
;BR;2013;p86p87;42194.3215933;53517.6077547;;;52118.7304688;0.0135048321;0.0126764597;41067.8007812
;BR;2013;p87p88;44665.3049625;56629.6098692;;;54990.8125;0.0142957019;0.0134135848;43372.5078125
;BR;2013;p88p89;47525.3738616;60297.7824627;;;58360.578125;0.0152111035;0.0142824473;46022.1796875
;BR;2013;p89p90;50900.3078302;64661.5613418;;;62350.234375;0.0162912942;0.0153160747;49112.9140625
;BR;2013;p90p91;55002.3631145;69902.7009995;;;67118.046875;0.0176042095;0.0165575184;52807.2773438
;BR;2013;p91p92;60112.0979814;76274.2917957;;;72873.8046875;0.0192396455;0.0180667266;57364.6054688
;BR;2013;p92p93;66570.315448;84149.5622923;;;79922.390625;0.0213066805;0.0199321043;63081.7460938
;BR;2013;p93p94;74875.1695326;94092.0591513;;;88716.0234375;0.0239647552;0.0222871359;70362.2890625
;BR;2013;p94p95;85802.0262363;107000.536441;;;99952.484375;0.0274620354;0.0253447052;79817.1171875
;BR;2013;p95p96;100640.18258;124424.967665;;;114779.992188;0.0322111771;0.0294719469;92422.7890625
;BR;2013;p96p97;121756.526313;149371.509075;;;135268.96875;0.0389697328;0.0353809148;109865.734375
;BR;2013;p97p98;154303.11261;188958.475956;;;165721.515625;0.0493866839;0.0447576903;135430.34375
;BR;2013;p98p99;214790.436687;269169.337464;;;217655.859375;0.0687464252;0.0637568533;177087.390625
;BR;2013;p1p100;31559.4531187;42643.2924611;13922.6455078;172.260894775;247.550628662;0.9999996372;0.9999705566;2.2667713165
;BR;2013;p2p100;31881.4536591;43074.7061707;7032.34912109;90.2570648193;477.244689941;0.999998549;0.9998841603;4.5335426331
;BR;2013;p3p100;32210.0700172;43512.8174196;4736.55664062;64.7703933716;671.801025391;0.9999967352;0.9997472723;6.8003134727
;BR;2013;p4p100;32545.5089372;43958.2480669;3589.41235352;53.3397369385;824.118225098;0.9999941959;0.9995692739;9.0670852661
;BR;2013;p5p100;32887.9858684;44411.6598291;2901.74731445;47.2965278625;939.004638672;0.9999909311;0.9993598541;11.333855629
;BR;2013;p6p100;33237.7254283;44873.6195767;2443.83764648;43.3511657715;1035.11914062;0.9999869408;0.9991259631;13.6006269455
;BR;2013;p7p100;33594.9618951;45344.4338147;2117.23193359;39.5278739929;1147.15087891;0.999982225;0.9988682785;15.867398262
;BR;2013;p8p100;33959.9397333;45823.9472268;1872.7043457;34.4989738464;1328.26989746;0.9999767837;0.9985771238;18.1341705322
;BR;2013;p9p100;34332.9141528;46311.2994307;1682.90844727;28.0187740326;1652.86669922;0.9999706169;0.9982277721;20.4009399414
;BR;2013;p10p100;34712.950312;46804.6334655;36.0473747253;21.0871677399;2219.57885742;0.9999291176;0.9977750667;962.981323242
;BR;2013;p11p100;35087.8602573;47300.8983103;19.865026474;15.2517910004;3101.33398438;0.9994983242;0.9971504384;1766.31323242
;BR;2013;p12p100;35461.1494249;47797.1330074;13.011177063;11.4248209;4183.62207031;0.9987818914;0.9962900859;2725.4375
;BR;2013;p13p100;35831.7116879;48291.9009825;9.64627838135;9.07971763611;5318.65673828;0.9977505747;0.9951644268;3714.56347656
;BR;2013;p14p100;36199.736468;48785.2849793;7.82087230682;7.64381694794;6382.31982422;0.9964122063;0.9937761888;4628.60595703
;BR;2013;p15p100;36566.5118979;49278.6646534;6.78631591797;6.76911735535;7279.92480469;0.9948042669;0.9921541328;5388.27148438
;BR;2013;p16p100;36934.1506112;49774.4062379;6.21200847626;6.25891971588;7952.55517578;0.9929847548;0.990345342;5945.60546875
;BR;2013;p17p100;37305.2259988;50275.4498216;5.93084859848;5.99658489227;8384.01367188;0.9910212037;0.9884059397;6290.03173828
;BR;2013;p18p100;37682.3044942;50784.777227;5.83766460419;5.89935398102;8608.53222656;0.9889776703;0.9863900739;6455.03076172
;BR;2013;p19p100;38067.3557538;51304.7394445;5.83347702026;5.88392496109;8719.47558594;0.9868994538;0.9843369647;6525.671875
;BR;2013;p20p100;38461.0178018;51836.2173181;5.78600788116;5.83788204193;8879.28515625;0.9847952356;0.9822557462;6647.24609375
;BR;2013;p21p100;38861.8773558;52377.7928967;5.57156944275;5.65394020081;9263.9453125;0.982621013;0.9801117023;6975.03222656
;BR;2013;p22p100;39267.605179;52926.9839626;5.25143432617;5.37708950043;9843.0546875;0.9803117257;0.9778517974;7477.50097656
;BR;2013;p23p100;39676.6420804;53482.1123481;4.91299104691;5.0775346756;10533.0869141;0.9778242733;0.9754400125;8075.86328125
;BR;2013;p24p100;40088.3291116;54042.4564492;4.60785770416;4.79987192154;11259.1455078;0.9751394498;0.9728591384;8699.99316406
;BR;2013;p25p100;40502.8353356;54608.1831067;4.35936069489;4.56683492661;11957.5556641;0.9722587688;0.9701084328;9291.00390625
;BR;2013;p26p100;40921.0424095;55180.2361164;4.17382955551;4.38674020767;12578.8701172;0.969200405;0.9672006137;9804.1953125
;BR;2013;p27p100;41344.3765797;55760.1716432;4.04844760895;4.25933408737;13091.2880859;0.9659941287;0.9641580936;10212.4023438
;BR;2013;p28p100;41774.5772607;56349.929283;3.97483110428;4.178855896;13484.5351562;0.9626751009;0.9610083496;10509.7744141
;BR;2013;p29p100;42213.3892078;56951.5253185;3.93925452232;4.13462114334;13774.3027344;0.9592763769;0.9577783108;10716.0859375
;BR;2013;p30p100;42662.1623175;57566.6517375;3.92054629326;4.10974788666;14007.34375;0.955819932;0.9544876191;10881.6884766
