Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
;SE;1995;p99.5p99.9;895807.097576;;;0.02;0.02;635301.1875
;SE;1995;p99.95p99.99;3045698.7474;;;0.0068;0.0068;
;SE;1995;p99.9p99.95;1791747.69049;;;0.005;0.005;1500031.125
;SE;1995;p99.9p99.99;2349086.95421;;;0.0118;0.0118;1500031.125
;SE;1995;p99p99.5;788312.595216;;;0.022;0.022;654777.75
;SE;1995;p95p100;587292.183329;1.5581021309;;0.1639;0.1639;376927.90625
;SE;1995;p99.5p100;1361630.84628;2.143283844;;0.038;0.038;635301.1875
;SE;1995;p99.95p100;4657988.67949;;;0.013;0.013;
;SE;1994;p0p100;179448.504946;;1.28208245151e+12;;;
;SE;1994;p99p100;1288441.45554;1.8389152288;;0.0718;0.0718;700653.0
;SE;1994;p99.9p100;4360654.68081;2.2077627182;;0.0243;0.0243;1975146.5
;SE;1994;p99.99p100;15071173.062;2.0228326321;;0.0084;0.0084;7450529.0
;SE;1994;p90p100;487023.111669;1.5998686552;;0.2714;0.2714;304414.4375
;SE;1994;p90p95;336286.407984;;;0.0937;0.0937;304414.4375
;SE;1994;p95p99;475089.647706;;;0.1059;0.1059;374368.34375
;SE;1994;p99.5p99.9;1148468.0697;;;0.0256;0.0256;801875.875
;SE;1994;p99.95p99.99;4216968.35582;;;0.0094;0.0094;
;SE;1994;p99.9p99.95;2332999.58823;;;0.0065;0.0065;1975146.5
;SE;1994;p99.9p99.99;3170360.63196;;;0.0159;0.0159;1975146.5
;SE;1994;p99p99.5;785985.177612;;;0.0219;0.0219;700653.0
;SE;1994;p95p100;637759.815354;1.7035623789;;0.1777;0.1777;374368.34375
;SE;1994;p99.5p100;1790897.73346;2.2333853245;;0.0499;0.0499;801875.875
;SE;1994;p99.95p100;6388068.06937;;;0.0178;0.0178;
;SE;1993;p0p100;174051.335669;;1.23745012975e+12;;;
;SE;1993;p99p100;1032125.39528;1.6723585129;;0.0593;0.0593;617167.5625
;SE;1993;p99.9p100;3045937.56126;2.1680948734;;0.0175;0.0175;1404891.25
;SE;1993;p99.99p100;10441347.4133;2.0987427235;;0.006;0.006;4975048.5
;SE;1993;p90p100;444004.847323;1.4879812002;;0.2551;0.2551;298394.125
;SE;1993;p90p95;325127.814504;;;0.0934;0.0934;298394.125
;SE;1993;p95p99;445571.176166;;;0.1024;0.1024;362500.40625
;SE;1993;p99.5p99.9;996441.868136;;;0.0229;0.0229;739493.25
;SE;1993;p99.95p99.99;2915310.49592;;;0.0067;0.0067;
;SE;1993;p99.9p99.95;1671013.92079;;;0.0048;0.0048;1404891.25
;SE;1993;p99.9p99.99;2224062.09058;;;0.0115;0.0115;1404891.25
;SE;1993;p99p99.5;657914.670176;;;0.0189;0.0189;617167.5625
;SE;1993;p95p100;562881.880143;1.5527758598;;0.1617;0.1617;362500.40625
;SE;1993;p99.5p100;1406336.12038;1.901756525;;0.0404;0.0404;739493.25
;SE;1993;p99.95p100;4420697.30571;;;0.0127;0.0127;
;SE;1992;p0p100;175660.204902;;1.24392737031e+12;;;
;SE;1992;p99p100;1025856.57919;1.6253652573;;0.0584;0.0584;631154.5
;SE;1992;p99.9p100;3144358.16307;2.3237476349;;0.0179;0.0179;1353141.0
;SE;1992;p99.99p100;11767281.1222;2.3137140274;;0.0067;0.0067;5085884.0
;SE;1992;p90p100;444420.214276;1.490601778;;0.253;0.253;298148.1875
;SE;1992;p90p95;326025.263912;;;0.0928;0.0928;298148.1875
;SE;1992;p95p99;447054.9835;;;0.1018;0.1018;364443.6875
;SE;1992;p99.5p99.9;979303.661751;;;0.0223;0.0223;709438.875
;SE;1992;p99.95p99.99;2898344.33047;;;0.0066;0.0066;
;SE;1992;p99.9p99.95;1616191.03207;;;0.0046;0.0046;1353141.0
;SE;1992;p99.9p99.99;2186065.24795;;;0.0112;0.0112;1353141.0
;SE;1992;p99p99.5;639403.758263;;;0.0182;0.0182;631154.5
;SE;1992;p95p100;562815.164641;1.5443130732;;0.1602;0.1602;364443.6875
;SE;1992;p99.5p100;1412309.40012;1.9907414913;;0.0402;0.0402;709438.875
;SE;1992;p99.95p100;4672343.13087;;;0.0133;0.0133;
;SE;1991;p0p100;178884.826333;;1.26303973362e+12;;;
;SE;1991;p99p100;1243250.7165;1.9076949358;;0.0695;0.0695;651703.125
;SE;1991;p99.9p100;4418512.05375;2.501500845;;0.0247;0.0247;1766344.375
;SE;1991;p99.99p100;16991238.8204;2.2795155048;;0.0095;0.0095;7453882.0
;SE;1991;p90p100;474223.556902;1.5734186172;;0.2651;0.2651;301396.9375
;SE;1991;p90p95;331294.616138;;;0.0926;0.0926;301396.9375
;SE;1991;p95p99;460628.176197;;;0.103;0.103;371753.125
;SE;1991;p99.5p99.9;1126972.11099;;;0.0252;0.0252;803591.9375
;SE;1991;p99.95p99.99;4114281.31998;;;0.0092;0.0092;
;SE;1991;p99.9p99.95;2146773.49151;;;0.006;0.006;1766344.375
;SE;1991;p99.9p99.99;3021264.85099;;;0.0152;0.0152;1766344.375
;SE;1991;p99p99.5;701229.181104;;;0.0196;0.0196;651703.125
;SE;1991;p95p100;617152.497666;1.6601138115;;0.1725;0.1725;371753.125
;SE;1991;p99.5p100;1785272.25189;2.2216155529;;0.0499;0.0499;803591.9375
;SE;1991;p99.95p100;6689979.81631;;;0.0187;0.0187;
;SE;1990;p0p100;174834.748622;;1.22925508197e+12;;;
;SE;1990;p99p100;909141.578973;1.7219929695;;0.052;0.052;527958.9375
;SE;1990;p99.9p100;2832359.45273;2.111235857;;0.0162;0.0162;1341564.75
;SE;1990;p99.99p100;9614315.98321;2.1314067841;;0.0055;0.0055;4510784.0
;SE;1990;p90p100;412959.58647;1.4180662632;;0.2362;0.2362;291213.1875
;SE;1990;p90p95;314352.809684;;;0.0899;0.0899;291213.1875
;SE;1990;p95p99;412172.707435;;;0.0943;0.0943;341767.28125
;SE;1990;p99.5p99.9;808609.090683;;;0.0185;0.0185;574785.5
;SE;1990;p99.95p99.99;2709892.78831;;;0.0062;0.0062;
;SE;1990;p99.9p99.95;1573626.82597;;;0.0045;0.0045;1341564.75
;SE;1990;p99.9p99.99;2078659.00514;;;0.0107;0.0107;1341564.75
;SE;1990;p99p99.5;604928.819855;;;0.0173;0.0173;527958.9375
;SE;1990;p95p100;511566.363256;1.4968266487;;0.1463;0.1463;341767.28125
;SE;1990;p99.5p100;1213354.33809;2.1109688282;;0.0347;0.0347;574785.5
;SE;1990;p99.95p100;4090942.03387;;;0.0117;0.0117;
;SE;1989;p0p100;175102.856433;;1.22303254525e+12;;;
;SE;1989;p99p100;954311.491174;1.7031126022;;0.0545;0.0545;560333.75
;SE;1989;p99.9p100;3169402.55111;2.3226177692;;0.0181;0.0181;1364582.0
;SE;1989;p99.99p100;11729945.0879;2.3200047016;;0.0067;0.0067;5056000.5
;SE;1989;p90p100;413067.545691;1.4440450668;;0.2359;0.2359;286048.9375
;SE;1989;p90p95;309231.575112;;;0.0883;0.0883;286048.9375
;SE;1989;p95p99;407551.68549;;;0.0931;0.0931;339035.34375
;SE;1989;p99.5p99.9;836114.456871;;;0.0191;0.0191;681382.0
;SE;1989;p99.95p99.99;2932923.23908;;;0.0067;0.0067;
;SE;1989;p99.9p99.95;1646086.18086;;;0.0047;0.0047;1364582.0
;SE;1989;p99.9p99.99;2218042.17117;;;0.0114;0.0114;1364582.0
;SE;1989;p99p99.5;605856.469626;;;0.0173;0.0173;560333.75
;SE;1989;p95p100;516903.516269;1.5246301889;;0.1476;0.1476;339035.34375
;SE;1989;p99.5p100;1302766.51272;1.9119473696;;0.0372;0.0372;681382.0
;SE;1989;p99.95p100;4692537.33638;;;0.0134;0.0134;
;SE;1988;p0p100;168333.08081;;1.16756384362e+12;;;
;SE;1988;p99p100;855132.869136;1.6350859404;;0.0508;0.0508;522989.5625
;SE;1988;p99.9p100;2424027.58085;2.0048882961;;0.0144;0.0144;1209058.625
;SE;1988;p99.99p100;7742037.03691;2.0145807266;;0.0046;0.0046;3843001.5
;SE;1988;p90p100;392215.986199;1.4218997955;;0.233;0.233;275839.40625
;SE;1988;p90p95;298959.481326;;;0.0888;0.0888;275839.40625
;SE;1988;p95p99;393057.534265;;;0.0934;0.0934;329767.1875
;SE;1988;p99.5p99.9;799580.516352;;;0.019;0.019;630432.125
;SE;1988;p99.95p99.99;2356623.24763;;;0.0056;0.0056;
;SE;1988;p99.9p99.95;1414100.37687;;;0.0042;0.0042;1209058.625
;SE;1988;p99.9p99.99;1833020.23816;;;0.0098;0.0098;1209058.625
;SE;1988;p99p99.5;585799.682006;;;0.0174;0.0174;522989.5625
;SE;1988;p95p100;485472.491072;1.4721673727;;0.1442;0.1442;329767.1875
;SE;1988;p99.5p100;1124466.05626;1.7836433649;;0.0334;0.0334;630432.125
;SE;1988;p99.95p100;3433834.39776;;;0.0102;0.0102;
;SE;1987;p0p100;163032.270991;;1.12385907638e+12;;;
;SE;1987;p99p100;771143.399653;1.5589526892;;0.0473;0.0473;494654.78125
;SE;1987;p99.9p100;1940109.0594;1.9053902626;;0.0119;0.0119;1018221.375
;SE;1987;p99.99p100;5868188.16329;1.9231241941;;0.0036;0.0036;3051382.75
;SE;1987;p90p100;376767.499398;1.3918932676;;0.2311;0.2311;270687.0625
;SE;1987;p90p95;292153.768465;;;0.0896;0.0896;270687.0625
;SE;1987;p95p99;383940.803397;;;0.0942;0.0942;323191.34375
;SE;1987;p99.5p99.9;733643.754042;;;0.018;0.018;580861.6875
;SE;1987;p99.95p99.99;1915596.81322;;;0.0047;0.0047;
;SE;1987;p99.9p99.95;1173917.46996;;;0.0036;0.0036;1018221.375
;SE;1987;p99.9p99.99;1503569.10733;;;0.0083;0.0083;1018221.375
;SE;1987;p99p99.5;567352.860632;;;0.0174;0.0174;494654.78125
;SE;1987;p95p100;461381.230332;1.4275791645;;0.1415;0.1415;323191.34375
;SE;1987;p99.5p100;974933.938673;1.678426981;;0.0299;0.0299;580861.6875
;SE;1987;p99.95p100;2706209.31595;;;0.0083;0.0083;
;SE;1986;p0p100;156830.520294;;1.07538339344e+12;;;
;SE;1986;p99p100;704169.738306;1.464902401;;0.0449;0.0449;480693.96875
;SE;1986;p99.9p100;1631058.48125;1.905253768;;0.0104;0.0104;856084.625
;SE;1986;p99.99p100;4860939.71956;1.9004377127;;0.0031;0.0031;2557800.0
;SE;1986;p90p100;357416.686086;1.3828771114;;0.2279;0.2279;258458.75
;SE;1986;p90p95;280726.57661;;;0.0895;0.0895;258458.75
;SE;1986;p95p99;366591.160482;;;0.0935;0.0935;310457.53125
;SE;1986;p99.5p99.9;701815.186582;;;0.0179;0.0179;580854.375
;SE;1986;p99.95p99.99;1607485.69189;;;0.0041;0.0041;
;SE;1986;p99.9p99.95;1003788.12736;;;0.0032;0.0032;856084.625
;SE;1986;p99.9p99.99;1272111.48358;;;0.0073;0.0073;856084.625
;SE;1986;p99p99.5;520677.846587;;;0.0166;0.0166;480693.96875
;SE;1986;p95p100;434106.795562;1.3982807398;;0.1384;0.1384;310457.53125
;SE;1986;p99.5p100;887661.630026;1.5281999111;;0.0283;0.0283;580854.375
;SE;1986;p99.95p100;2258254.06219;;;0.0072;0.0072;
;SE;1985;p0p100;149933.347456;;1.02408342896e+12;;;
;SE;1985;p99p100;688194.72962;1.5469844341;;0.0459;0.0459;444862.09375
;SE;1985;p99.9p100;1739249.24407;2.6706755161;;0.0116;0.0116;651239.4375
;SE;1985;p99.99p100;7345515.20602;2.6639828682;;0.0049;0.0049;2757343.25
;SE;1985;p90p100;341548.088283;1.3712052107;;0.2278;0.2278;249086.046875
;SE;1985;p90p95;268080.76464;;;0.0894;0.0894;249086.046875
;SE;1985;p95p99;346720.68427;;;0.0925;0.0925;291740.28125
;SE;1985;p99.5p99.9;667202.05228;;;0.0178;0.0178;521291.6875
;SE;1985;p99.95p99.99;1536790.816;;;0.0041;0.0041;
;SE;1985;p99.9p99.95;779709.929171;;;0.0026;0.0026;651239.4375
;SE;1985;p99.9p99.99;1116207.03703;;;0.0067;0.0067;651239.4375
;SE;1985;p99p99.5;494780.524563;;;0.0165;0.0165;444862.09375
;SE;1985;p95p100;415015.411927;1.4225509167;;0.1384;0.1384;291740.28125
;SE;1985;p99.5p100;881608.934676;1.6912008524;;0.0294;0.0294;521291.6875
;SE;1985;p99.95p100;2698674.17832;;;0.009;0.009;
;SE;1984;p0p100;144893.323489;;9.858083688e+11;;;
;SE;1984;p99p100;631735.4592;1.4453549385;;0.0436;0.0436;437079.8125
;SE;1984;p99.9p100;1390993.73983;1.9219495058;;0.0096;0.0096;723741.0625
;SE;1984;p99.99p100;4201209.01134;1.9187750816;;0.0029;0.0029;2189526.5
;SE;1984;p90p100;327313.922273;1.3586722612;;0.2259;0.2259;240907.203125
;SE;1984;p90p95;260807.906194;;;0.09;0.09;240907.203125
;SE;1984;p95p99;334341.146771;;;0.0923;0.0923;284919.1875
;SE;1984;p99.5p99.9;637529.297371;;;0.0176;0.0176;532449.0
;SE;1984;p99.95p99.99;1376463.19937;;;0.0038;0.0038;
;SE;1984;p99.9p99.95;840442.146045;;;0.0029;0.0029;723741.0625
;SE;1984;p99.9p99.99;1078685.55878;;;0.0067;0.0067;723741.0625
;SE;1984;p99p99.5;475250.52894;;;0.0164;0.0164;437079.8125
;SE;1984;p95p100;393819.938352;1.3822163343;;0.1359;0.1359;284919.1875
;SE;1984;p99.5p100;788220.389461;1.4803678989;;0.0272;0.0272;532449.0
;SE;1984;p99.95p100;1941479.70581;;;0.0067;0.0067;
;SE;1983;p0p100;144368.086306;;9.7786986271e+11;;;
;SE;1983;p99p100;642438.60941;1.5083696842;;0.0445;0.0445;425915.875
;SE;1983;p99.9p100;1530321.44731;1.7198120356;;0.0106;0.0106;889819.0
;SE;1983;p99.99p100;4763356.51387;2.0541164875;;0.0033;0.0033;2318932.0
;SE;1983;p90p100;328581.692573;1.354269743;;0.2276;0.2276;242626.484375
;SE;1983;p90p95;261306.179067;;;0.0905;0.0905;242626.484375
;SE;1983;p95p99;334211.947105;;;0.0926;0.0926;287911.125
;SE;1983;p99.5p99.9;631609.110054;;;0.0175;0.0175;537878.3125
;SE;1983;p99.95p99.99;1371473.63104;;;0.0038;0.0038;
;SE;1983;p99.9p99.95;1010649.87522;;;0.0035;0.0035;889819.0
;SE;1983;p99.9p99.99;1171023.95465;;;0.0073;0.0073;889819.0
;SE;1983;p99p99.5;473527.784014;;;0.0164;0.0164;425915.875
;SE;1983;p95p100;395857.206079;1.3749284744;;0.1371;0.1371;287911.125
;SE;1983;p99.5p100;811349.434805;1.5084255934;;0.0281;0.0281;537878.3125
;SE;1983;p99.95p100;2049931.07261;;;0.0071;0.0071;
;SE;1982;p0p100;146113.379254;;9.84814681168e+11;;;
;SE;1982;p99p100;596143.140225;1.3782867193;;0.0408;0.0408;432524.78125
;SE;1982;p99.9p100;1212756.62972;1.5308611393;;0.0083;0.0083;792205.5
;SE;1982;p99.99p100;3067871.80315;1.7545480728;;0.0021;0.0021;1748525.375
;SE;1982;p90p100;327878.336262;1.3202265501;;0.2244;0.2244;248350.046875
;SE;1982;p90p95;266510.733218;;;0.0912;0.0912;248350.046875
;SE;1982;p95p99;337521.716151;;;0.0924;0.0924;290187.9375
;SE;1982;p99.5p99.9;606369.279135;;;0.0166;0.0166;519206.78125
;SE;1982;p99.95p99.99;1168887.21674;;;0.0032;0.0032;
;SE;1982;p99.9p99.95;876743.798229;;;0.003;0.003;792205.5
;SE;1982;p99.9p99.99;1006591.76707;;;0.0062;0.0062;792205.5
;SE;1982;p99p99.5;464640.97694;;;0.0159;0.0159;432524.78125
;SE;1982;p95p100;389245.939306;1.3413580656;;0.1332;0.1332;290187.9375
;SE;1982;p99.5p100;727645.30351;1.40145576;;0.0249;0.0249;519206.78125
;SE;1982;p99.95p100;1548729.40722;;;0.0053;0.0053;
;SE;1981;p0p100;148474.330025;;9.95630274415e+11;;;
;SE;1981;p99p100;604291.107819;1.3803052902;;0.0407;0.0407;437795.25
;SE;1981;p99.9p100;1202657.5735;1.5368041992;;0.0081;0.0081;782570.4375
;SE;1981;p99.99p100;2968993.96852;1.779296279;;0.002;0.002;1668633.875
;SE;1981;p90p100;333770.218915;1.3154219389;;0.2248;0.2248;253736.25
;SE;1981;p90p95;272004.9115;;;0.0916;0.0916;253736.25
;SE;1981;p95p99;343346.708725;;;0.0925;0.0925;297331.625
;SE;1981;p99.5p99.9;616167.22939;;;0.0166;0.0166;525063.875
;SE;1981;p99.95p99.99;1150656.59555;;;0.0031;0.0031;
;SE;1981;p99.9p99.95;890910.564944;;;0.003;0.003;782570.4375
;SE;1981;p99.9p99.99;1006358.9795;;;0.0061;0.0061;782570.4375
;SE;1981;p99p99.5;475118.31573;;;0.016;0.016;437795.25
;SE;1981;p95p100;395535.52633;1.3302841187;;0.1332;0.1332;297331.625
;SE;1981;p99.5p100;733463.899909;1.3969041109;;0.0247;0.0247;525063.875
;SE;1981;p99.95p100;1514367.42066;;;0.0051;0.0051;
;SE;1980;p0p100;148540.205944;;9.90880559557e+11;;;
;SE;1980;p99p100;613471.613355;1.3698772192;;0.0413;0.0413;447829.625
;SE;1980;p99.9p100;1173482.69253;1.5096914768;;0.0079;0.0079;777299.6875
;SE;1980;p99.99p100;2821795.56373;1.7518554926;;0.0019;0.0019;1610746.75
;SE;1980;p90p100;338968.656856;1.326794982;;0.2282;0.2282;255479.296875
;SE;1980;p90p95;275393.466175;;;0.0927;0.0927;255479.296875
;SE;1980;p95p99;349811.98466;;;0.0942;0.0942;302072.03125
;SE;1980;p99.5p99.9;635008.070503;;;0.0171;0.0171;535363.8125
;SE;1980;p99.95p99.99;1151167.06769;;;0.0031;0.0031;
;SE;1980;p99.9p99.95;861595.611037;;;0.0029;0.0029;777299.6875
;SE;1980;p99.9p99.99;990300.428945;;;0.006;0.006;777299.6875
;SE;1980;p99p99.5;484241.515627;;;0.0163;0.0163;447829.625
;SE;1980;p95p100;402543.847537;1.332608819;;0.1355;0.1355;302072.03125
;SE;1980;p99.5p100;742701.711084;1.3872841597;;0.025;0.025;535363.8125
;SE;1980;p99.95p100;1485332.59592;;;0.005;0.005;
;SE;1979;p0p100;152523.955846;;1.01110207167e+12;;;
;SE;1979;p99p100;660429.348098;1.3735942841;;0.0433;0.0433;480803.78125
;SE;1979;p99.9p100;1220207.33696;1.5186816454;;0.008;0.008;803464.875
;SE;1979;p99.99p100;2897474.30984;1.7558195591;;0.0019;0.0019;1650211.875
;SE;1979;p90p100;358888.776807;1.3445549011;;0.2353;0.2353;266920.125
;SE;1979;p90p95;288575.251049;;;0.0946;0.0946;266920.125
;SE;1979;p95p99;371395.62732;;;0.0974;0.0974;317902.65625
;SE;1979;p99.5p99.9;690169.49051;;;0.0181;0.0181;584476.625
;SE;1979;p99.95p99.99;1220170.97257;;;0.0032;0.0032;
;SE;1979;p99.9p99.95;884703.052388;;;0.0029;0.0029;803464.875
;SE;1979;p99.9p99.99;1033807.31176;;;0.0061;0.0061;803464.875
;SE;1979;p99p99.5;524682.900106;;;0.0172;0.0172;480803.78125
;SE;1979;p95p100;429202.302565;1.3501060009;;0.1407;0.1407;317902.65625
;SE;1979;p99.5p100;796175.796091;1.362203002;;0.0261;0.0261;584476.625
;SE;1979;p99.95p100;1555671.62818;;;0.0051;0.0051;
;SE;1978;p0p100;153562.493117;;1.01232662967e+12;;;
;SE;1978;p99p100;700245.666113;1.3916989565;;0.0456;0.0456;503158.875
;SE;1978;p99.9p100;1336010.94738;1.3996737003;;0.0087;0.0087;954516.0
;SE;1978;p99.99p100;2917203.41416;1.5703632832;;0.0019;0.0019;1857661.5
;SE;1978;p90p100;370546.223259;1.3585445881;;0.2413;0.2413;272752.34375
;SE;1978;p90p95;294839.928992;;;0.096;0.096;272752.34375
;SE;1978;p95p99;382754.324999;;;0.0997;0.0997;323781.1875
;SE;1978;p99.5p99.9;725581.340312;;;0.0189;0.0189;615230.4375
;SE;1978;p99.95p99.99;1305259.15178;;;0.0034;0.0034;
;SE;1978;p99.9p99.95;1044300.6876;;;0.0034;0.0034;954516.0
;SE;1978;p99.9p99.99;1160287.98829;;;0.0068;0.0068;954516.0
;SE;1978;p99p99.5;552825.525878;;;0.018;0.018;503158.875
;SE;1978;p95p100;446252.517526;1.3782533407;;0.1453;0.1453;323781.1875
;SE;1978;p99.5p100;847665.806347;1.3778021336;;0.0276;0.0276;615230.4375
;SE;1978;p99.95p100;1627686.43421;;;0.0053;0.0053;
;SE;1977;p0p100;148285.55249;;9.72678619945e+11;;;
;SE;1977;p99p100;707322.763927;1.4109961987;;0.0477;0.0477;501293.1875
;SE;1977;p99.9p100;1260443.43099;1.6516296864;;0.0085;0.0085;763151.375
;SE;1977;p99.99p100;3113479.97109;1.6383097172;;0.0021;0.0021;1900422.125
;SE;1977;p90p100;368489.512164;1.3627713919;;0.2485;0.2485;270397.15625
;SE;1977;p90p95;291232.7573;;;0.0982;0.0982;270397.15625
;SE;1977;p95p99;380352.240248;;;0.1026;0.1026;319996.875
;SE;1977;p99.5p99.9;767376.183337;;;0.0207;0.0207;617871.375
;SE;1977;p99.95p99.99;1297476.62829;;;0.0035;0.0035;
;SE;1977;p99.9p99.95;860118.550044;;;0.0029;0.0029;763151.375
;SE;1977;p99.9p99.99;1054509.5735;;;0.0064;0.0064;763151.375
;SE;1977;p99p99.5;548657.070551;;;0.0185;0.0185;501293.1875
;SE;1977;p95p100;445746.267028;1.3929706812;;0.1503;0.1503;319996.875
;SE;1977;p99.5p100;865988.457303;1.4015675783;;0.0292;0.0292;617871.375
;SE;1977;p99.95p100;1660720.59172;;;0.0056;0.0056;
;SE;1976;p0p100;150261.550951;;9.80628374334e+11;;;
;SE;1976;p99p100;761826.785663;1.4389251471;;0.0507;0.0507;529441.5625
;SE;1976;p99.9p100;1532687.54401;1.4353148937;;0.0102;0.0102;1067840.625
;SE;1976;p99.99p100;3154969.01915;1.4648741484;;0.0021;0.0021;2153747.5
;SE;1976;p90p100;386021.830233;1.3875253201;;0.2569;0.2569;278208.84375
;SE;1976;p90p95;302326.166769;;;0.1006;0.1006;278208.84375
;SE;1976;p95p99;396690.279526;;;0.1056;0.1056;334099.8125
;SE;1976;p99.5p99.9;792628.070597;;;0.0211;0.0211;653940.75
;SE;1976;p99.95p99.99;1577719.56911;;;0.0042;0.0042;
;SE;1976;p99.9p99.95;1172125.04571;;;0.0039;0.0039;1067840.625
;SE;1976;p99.9p99.99;1352398.23244;;;0.0081;0.0081;1067840.625
;SE;1976;p99p99.5;583015.370487;;;0.0194;0.0194;529441.5625
;SE;1976;p95p100;469717.493698;1.4059196711;;0.1563;0.1563;334099.8125
;SE;1976;p99.5p100;940638.200838;1.4384150505;;0.0313;0.0313;653940.75
;SE;1976;p99.95p100;1893207.06192;;;0.0063;0.0063;
;SE;1975;p0p100;145741.218706;;9.4674410392e+11;;;
;SE;1975;p99p100;788460.743949;1.4736104012;;0.0541;0.0541;535053.75
;SE;1975;p99.9p100;1646896.97205;1.4682948589;;0.0113;0.0113;1121639.125
;SE;1975;p99.99p100;3497208.91918;1.4873481989;;0.0024;0.0024;2351304.75
;SE;1975;p90p100;386359.878093;1.4108338356;;0.2651;0.2651;273852.15625
;SE;1975;p90p95;298186.461931;;;0.1023;0.1023;273852.15625
;SE;1975;p95p99;396051.54878;;;0.1087;0.1087;332248.71875
;SE;1975;p99.5p99.9;819792.692631;;;0.0225;0.0225;668598.25
;SE;1975;p99.95p99.99;1712430.32968;;;0.0047;0.0047;
;SE;1975;p99.9p99.95;1224314.97272;;;0.0042;0.0042;1121639.125
;SE;1975;p99.9p99.99;1441265.90726;;;0.0089;0.0089;1121639.125
;SE;1975;p99p99.5;591709.911355;;;0.0203;0.0203;535053.75
;SE;1975;p95p100;474533.294256;1.4282472134;;0.1628;0.1628;332248.71875
;SE;1975;p99.5p100;985211.576542;1.4735479355;;0.0338;0.0338;668598.25
;SE;1975;p99.95p100;2069428.59803;;;0.0071;0.0071;
;SE;1974;p0p100;137288.621116;;8.87470184205e+11;;;
;SE;1974;p99p100;779800.092782;1.4965769053;;0.0568;0.0568;521055.8125
;SE;1974;p99.9p100;1688671.73992;1.5061889887;;0.0123;0.0123;1121155.25
;SE;1974;p99.99p100;3568911.83997;1.4744729996;;0.0026;0.0026;2420466.0
;SE;1974;p90p100;373013.085631;1.4222080708;;0.2717;0.2717;262277.4375
;SE;1974;p90p95;284736.525432;;;0.1037;0.1037;262277.4375
;SE;1974;p95p99;381662.152746;;;0.1112;0.1112;317861.6875
;SE;1974;p99.5p99.9;806568.995019;;;0.0235;0.0235;654706.6875
;SE;1974;p99.95p99.99;1750400.24667;;;0.0051;0.0051;
;SE;1974;p99.9p99.95;1263146.8357;;;0.0046;0.0046;1121155.25
;SE;1974;p99.9p99.99;1479714.6641;;;0.0097;0.0097;1121155.25
;SE;1974;p99p99.5;576612.744663;;;0.021;0.021;521055.8125
;SE;1974;p95p100;461289.64583;1.4512275457;;0.168;0.168;317861.6875
;SE;1974;p99.5p100;982987.440901;1.501416564;;0.0358;0.0358;654706.6875
;SE;1974;p99.95p100;2114145.92;;;0.0077;0.0077;
;SE;1973;p0p100;135572.091697;;8.61001933107e+11;;;
;SE;1973;p99p100;780896.020511;1.4767991304;;0.0576;0.0576;528776.0625
;SE;1973;p99.9p100;1640443.4876;1.4766862392;;0.0121;0.0121;1110895.125
;SE;1973;p99.99p100;3388740.08702;1.4519908428;;0.0025;0.0025;2333857.75
;SE;1973;p90p100;376212.478068;1.4495607615;;0.2775;0.2775;259535.5
;SE;1973;p90p95;285785.911267;;;0.1054;0.1054;259535.5
;SE;1973;p95p99;388074.918027;;;0.1145;0.1145;321796.71875
;SE;1973;p99.5p99.9;810041.63494;;;0.0239;0.0239;661186.875
;SE;1973;p99.95p99.99;1728514.97045;;;0.0051;0.0051;
;SE;1973;p99.9p99.95;1220237.31031;;;0.0045;0.0045;1110895.125
;SE;1973;p99.9p99.99;1446149.71359;;;0.0096;0.0096;1110895.125
;SE;1973;p99p99.5;585672.015383;;;0.0216;0.0216;528776.0625
;SE;1973;p95p100;466639.044868;1.4501050711;;0.1721;0.1721;321796.71875
;SE;1973;p99.5p100;976120.025638;1.4763149023;;0.036;0.036;661186.875
;SE;1973;p99.95p100;2060599.57477;;;0.0076;0.0076;
;SE;1972;p0p100;136616.951004;;8.65208497215e+11;;;
;SE;1972;p99p100;793745.279143;1.4691758156;;0.0581;0.0581;540265.6875
;SE;1972;p99.9p100;1653086.46669;1.4668619633;;0.0121;0.0121;1126954.375
;SE;1972;p99.99p100;3414857.27447;1.452671051;;0.0025;0.0025;2350743.75
;SE;1972;p90p100;382937.240136;1.4578506947;;0.2803;0.2803;262672.46875
;SE;1972;p90p95;289627.880516;;;0.106;0.106;262672.46875
;SE;1972;p95p99;396872.048185;;;0.1162;0.1162;326566.3125
;SE;1972;p99.5p99.9;823115.499906;;;0.0241;0.0241;674102.5
;SE;1972;p99.95p99.99;1741836.72081;;;0.0051;0.0051;
;SE;1972;p99.9p99.95;1229641.7396;;;0.0045;0.0045;1126954.375
;SE;1972;p99.9p99.99;1457295.26096;;;0.0096;0.0096;1126954.375
;SE;1972;p99p99.5;598382.843829;;;0.0219;0.0219;540265.6875
;SE;1972;p95p100;476246.599755;1.4583457708;;0.1743;0.1743;326566.3125
;SE;1972;p99.5p100;989107.714457;1.4672957659;;0.0362;0.0362;674102.5
